PRODUTO;COD;MEDIDA;DATA;FORNECEDOR;P.CUSTO UNIT;P.VENDA UNIT;ENTRADA;MINIMO;SAIDAS;EST.ATUAL;AVISO;T.CUSTO;T.ESTOQUE;LUCRO P/ UNID;T.LUCRO
Sistema Avançado TimeWise® Mista/Oleosa;001-Sist;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 256,74;R$ 427,90;2;1;4;-2;⚠️;R$ 513,48;R$ 855,80;R$ 171,16;R$ 342,32
Base Timewise 3D® Beige N150 (Matte);002-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;2;1;0;2;✅;R$ 79,08;R$ 131,80;R$ 26,36;R$ 52,72
Base Timewise 3D® Beige W160 (Matte);003-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;1;1;2;-1;⚠️;R$ 39,54;R$ 65,90;R$ 26,36;R$ 26,36
Base Timewise 3D® Beige W180 (Matte);004-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;1;1;1;0;⚠️;R$ 39,54;R$ 65,90;R$ 26,36;R$ 26,36
Base Timewise 3D® Beige N210 (Matte);005-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;1;1;0;1;⚠️;R$ 39,54;R$ 65,90;R$ 26,36;R$ 26,36
Base Timewise 3D® Beige N200 (Matte);006-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;1;1;0;1;⚠️;R$ 39,54;R$ 65,90;R$ 26,36;R$ 26,36
Base Timewise 3D® Beige C220 (Matte);007-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;1;1;0;1;⚠️;R$ 39,54;R$ 65,90;R$ 26,36;R$ 26,36
Base Timewise 3D® Ivory C100;008-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;1;1;0;1;⚠️;R$ 39,54;R$ 65,90;R$ 26,36;R$ 26,36
Base Timewise 3D® Bronze W100 (Matte);009-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;1;1;1;0;⚠️;R$ 39,54;R$ 65,90;R$ 26,36;R$ 26,36
Base Timewise 3D® Bronze W110 (Matte);010-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;1;1;0;1;⚠️;R$ 39,54;R$ 65,90;R$ 26,36;R$ 26,36
Base Timewise 3D® Bronze W120 (Matte);011-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;1;1;0;1;⚠️;R$ 39,54;R$ 65,90;R$ 26,36;R$ 26,36
Base Timewise 3D® Bronze W130 (Matte);012-Base;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 39,54;R$ 65,90;1;1;0;1;⚠️;R$ 39,54;R$ 65,90;R$ 26,36;R$ 26,36
Corretivo Para a Área dos Olhos Mary Kay® - Yellow 8,6g;013-Corr;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 22,14;R$ 36,90;5;2;5;0;⚠️;R$ 110,70;R$ 184,50;R$ 14,76;R$ 73,80
Perfume Embrace® for Her Deo Colônia;014-Perf;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 77,94;R$ 129,90;2;0;2;0;⚠️;R$ 155,88;R$ 259,80;R$ 51,96;R$ 103,92
Brilho Labial Mary Kay Unlimited™ Nude Blush (Cremoso);015-Bril;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 32,34;R$ 53,90;2;0;4;-2;⚠️;R$ 64,68;R$ 107,80;R$ 21,56;R$ 43,12
Brilho Labial Mary Kay Unlimited™ Pink Ballerina (Perolado);016-Bril;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 32,34;R$ 53,90;2;0;2;0;⚠️;R$ 64,68;R$ 107,80;R$ 21,56;R$ 43,12
Brilho Labial Mary Kay Unlimited™ Unique Mauve (Cremoso);017-Bril;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 32,34;R$ 53,90;2;0;2;0;⚠️;R$ 64,68;R$ 107,80;R$ 21,56;R$ 43,12
Brilho Labial Mary Kay Unlimited™ Sheer Illusion (Cintilante);018-Bril;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 32,34;R$ 53,90;2;0;0;2;✅;R$ 64,68;R$ 107,80;R$ 21,56;R$ 43,12
Kit Satin Hands - Sem Fragrância Mãos de Seda;019-Kit;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 87,54;R$ 145,90;1;0;2;-1;⚠️;R$ 87,54;R$ 145,90;R$ 58,36;R$ 58,36
Perfume Live Fearlessly Deo Parfum;020-Perf;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 91,74;R$ 152,90;1;0;1;0;⚠️;R$ 91,74;R$ 152,90;R$ 61,16;R$ 61,16
Máscara para Cílios Lash Love Fanorama®;021-Másc;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 43,74;R$ 72,90;2;0;4;-2;⚠️;R$ 87,48;R$ 145,80;R$ 29,16;R$ 58,32
Pincel para Base Líquida Mary Kay®;022-Pinc;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 29,94;R$ 49,90;2;0;4;-2;⚠️;R$ 59,88;R$ 99,80;R$ 19,96;R$ 39,92
Máscara Detox Clear Proof®;023-Másc;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 47,34;R$ 92,90;4;0;1;3;✅;R$ 189,36;R$ 371,60;R$ 45,56;R$ 182,24
Pó Solto Translúcido Mary Kay®;024-Pó S;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 47,94;R$ 79,90;2;0;2;0;⚠️;R$ 95,88;R$ 159,80;R$ 31,96;R$ 63,92
Mary Kay At Play® Pó Facial Multifuncional 10g;025-Mary;UNID;31/03/2026;MARY KAY DO BRASIL LTDA.;R$ 45,54;R$ 75,90;2;0;4;-2;⚠️;R$ 91,08;R$ 151,80;R$ 30,36;R$ 60,72
Kit Satin Hands - Sem Fragrância Mãos de Seda;026-Kit;UNID;07/04/2026;MARY KAY DO BRASIL LTDA.;R$ 87,54;R$ 145,90;2;0;0;2;✅;R$ 175,08;R$ 291,80;R$ 58,36;R$ 116,72
Kit Básico TimeWise® Mista/Oleosa;027-Kit;UNID;07/04/2026;MARY KAY DO BRASIL LTDA.;R$ 111,48;R$ 185,80;3;0;2;1;✅;R$ 334,44;R$ 557,40;R$ 74,32;R$ 222,96
Hidratante Noturno Extra Emoliente;028-Hidr;UNID;07/04/2026;MARY KAY DO BRASIL LTDA.;R$ 41,94;R$ 69,90;2;0;2;0;⚠️;R$ 83,88;R$ 139,80;R$ 27,96;R$ 55,92
Presente Cuidado Corporal | Maçã e Amêndoa;029-Pres;UNID;07/04/2026;MARY KAY DO BRASIL LTDA.;R$ 43,68;R$ 72,80;2;0;3;-1;⚠️;R$ 87,36;R$ 145,60;R$ 29,12;R$ 58,24
Kit Lábios de Seda Karité aroma de Chá Branco & Citrus®;030-Kit;UNID;07/04/2026;MARY KAY DO BRASIL LTDA.;R$ 46,14;R$ 76,90;4;0;5;-1;⚠️;R$ 184,56;R$ 307,60;R$ 30,76;R$ 123,04
Esponja para Maquiagem Mary Kay®;031-Espo;UNID;07/04/2026;MARY KAY DO BRASIL LTDA.;R$ 21,54;R$ 35,90;2;0;2;0;⚠️;R$ 43,08;R$ 71,80;R$ 14,36;R$ 28,72
Pincel para Base Líquida Mary Kay®;032-Pinc;UNID;07/04/2026;MARY KAY DO BRASIL LTDA.;R$ 29,94;R$ 49,90;2;0;0;2;✅;R$ 59,88;R$ 99,80;R$ 19,96;R$ 39,92
Máscara para Cílios Lash Love Fanorama®;033-Másc;UNID;07/04/2026;MARY KAY DO BRASIL LTDA.;R$ 43,74;R$ 72,90;2;0;0;2;✅;R$ 87,48;R$ 145,80;R$ 29,16;R$ 58,32
Perfume Presente Black Diamonds;034-Perf;UNID;07/04/2026;MARY KAY DO BRASIL LTDA.;R$ 74,34;R$ 123,90;1;0;1;0;⚠️;R$ 74,34;R$ 123,90;R$ 49,56;R$ 49,56
Sistema Avançado TimeWise® Mista/Oleosa;035-Sist;UNID;07/04/2026;MARY KAY DO BRASIL LTDA.;R$ 256,74;R$ 427,90;2;1;0;2;✅;R$ 513,48;R$ 855,80;R$ 171,16;R$ 342,32
